chapter,block_in_chapter,markdown_start_line,section,first_nonblank_line,pedagogical_role,canonical_runtime_companion
22,16,6593,Question 15 — Rank products by units sold within each category,WITH product_sales AS (,worked-or-practice-sql,chapters/ch22.sql
22,17,6621,Question 16 — How did completed-order value change month by month?,WITH order_totals AS (,worked-or-practice-sql,chapters/ch22.sql
22,18,6662,Question 17 — Which active products have no preferred supplier?,"SELECT p.product_id, p.product_name",worked-or-practice-sql,chapters/ch22.sql
23,1,6810,Capstone A — School Fees,CREATE TABLE students (,supplementary-mini-domain,chapters/ch23.sql
23,2,6856,Capstone A — School Fees,SELECT,supplementary-mini-domain,chapters/ch23.sql
23,3,6871,Capstone A — School Fees,SELECT,supplementary-mini-domain,chapters/ch23.sql
23,4,6891,Capstone A — School Fees,WITH invoice_payments AS (,supplementary-mini-domain,chapters/ch23.sql
23,5,6919,Capstone A — School Fees,SELECT,supplementary-mini-domain,chapters/ch23.sql
23,6,6953,Capstone A — School Fees,WITH invoice_payments AS (,supplementary-mini-domain,chapters/ch23.sql
23,7,6989,Capstone B — Logistics,CREATE TABLE drivers (,supplementary-mini-domain,chapters/ch23.sql
23,8,7033,Capstone B — Logistics,SELECT,supplementary-mini-domain,chapters/ch23.sql
23,9,7054,Capstone B — Logistics,SELECT,supplementary-mini-domain,chapters/ch23.sql
23,10,7065,Capstone B — Logistics,SELECT,supplementary-mini-domain,chapters/ch23.sql
23,11,7077,Capstone B — Logistics,"SELECT ld.delivery_id, ld.delivery_status",supplementary-mini-domain,chapters/ch23.sql
23,12,7092,Capstone B — Logistics,SELECT,supplementary-mini-domain,chapters/ch23.sql
23,13,7109,Capstone B — Logistics,SELECT,supplementary-mini-domain,chapters/ch23.sql
23,14,7126,Capstone B — Logistics,WITH driver_completions AS (,supplementary-mini-domain,chapters/ch23.sql
24,1,7384,Organising chapter SQL,-- Question: Which active products are priced between 3000 and 10000?,worked-or-practice-sql,chapters/ch24.sql
24,2,7410,Integrity tests,SELECT oi.*,worked-or-practice-sql,chapters/ch24.sql
24,3,7421,Integrity tests,SELECT order_item_id,worked-or-practice-sql,chapters/ch24.sql
24,4,7486,SQL interview reasoning,"SELECT c.customer_id, c.customer_name",worked-or-practice-sql,chapters/ch24.sql
24,5,7512,SQL interview reasoning,SELECT,worked-or-practice-sql,chapters/ch24.sql
24,6,7796,Basic retrieval,"SELECT column_a, column_b",worked-or-practice-sql,chapters/ch24.sql
24,7,7803,Filtering,"SELECT column_a, column_b",worked-or-practice-sql,chapters/ch24.sql
24,8,7811,Filtering,column_a = value,worked-or-practice-sql,chapters/ch24.sql
24,9,7823,Sorting and limiting,"SELECT column_a, column_b",worked-or-practice-sql,chapters/ch24.sql
24,10,7834,Expressions and CASE,SELECT,worked-or-practice-sql,chapters/ch24.sql
24,11,7847,Aggregation,SELECT,worked-or-practice-sql,chapters/ch24.sql
24,12,7861,Inner join,"SELECT a.column_a, b.column_b",worked-or-practice-sql,chapters/ch24.sql
24,13,7870,Left join,"SELECT a.column_a, b.column_b",worked-or-practice-sql,chapters/ch24.sql
24,14,7881,EXISTS,SELECT a.id,worked-or-practice-sql,chapters/ch24.sql
24,15,7893,NOT EXISTS,SELECT a.id,worked-or-practice-sql,chapters/ch24.sql
24,16,7905,Set operations,query_1,worked-or-practice-sql,chapters/ch24.sql
24,17,7915,CTE,WITH stage_one AS (,worked-or-practice-sql,chapters/ch24.sql
24,18,7929,Window function,SELECT,worked-or-practice-sql,chapters/ch24.sql
24,19,7942,Safe update workflow,"SELECT id, current_value",worked-or-practice-sql,chapters/ch24.sql
24,20,7950,Safe update workflow,UPDATE table_name,worked-or-practice-sql,chapters/ch24.sql
24,21,7959,Transaction,BEGIN;,transactional-teaching-lab,chapters/ch24.sql
24,22,7969,Transaction,ROLLBACK;,transactional-teaching-lab,chapters/ch24.sql
24,23,7975,Table definition,CREATE TABLE example (,worked-or-practice-sql,chapters/ch24.sql
24,24,7986,Plan inspection,EXPLAIN,worked-or-practice-sql,chapters/ch24.sql
24,25,7993,Plan inspection,EXPLAIN ANALYZE,worked-or-practice-sql,chapters/ch24.sql
24,26,8029,First verification sequence,SELECT version();,worked-or-practice-sql,chapters/ch24.sql
24,27,8035,First verification sequence,CREATE DATABASE marketledger;,worked-or-practice-sql,chapters/ch24.sql
24,28,8060,First verification sequence,SELECT COUNT(*) AS branch_count,worked-or-practice-sql,chapters/ch24.sql
24,29,8437,A `LEFT JOIN` behaves like an inner join,LEFT JOIN payments AS p,worked-or-practice-sql,chapters/ch24.sql
24,30,8457,A running total looks wrong on tied dates,ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW,worked-or-practice-sql,chapters/ch24.sql
